time,mon,fgov,repress,restraint,restraint5,vio,nonvio,nonvio2,milprimes,prime_frat,prime_future,prime_RU,prime_UN,post_exp,mil_frat,mil_future,mil_RU,mil_UN,oppose92coup,oppose92coup2,civwar,islamist,supp_sharia,active,conscript,soldier,junoff,senoff,rank4,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6,branch_7,branch,branch2,foreign_training,train_west,train_russia,train_china,age,young,sex,edu,BA,income,urban,urban_area,employed,student,arabic,dem,supp_opp_parties,continue,protested,preboutef,econ,econ1,corr,corr1,prot,slogans_1,slogans_2,slogans_3,slogans_4,actions_5,system,actions_3,actions_6,other_7,rep_mech_2,rep_mech_3
24.25,1,11,1,1,5,1,1,1,mil_RU,0,0,1,0,0,NA,NA,0,NA,0.5,0,0,0,1,1,0,0,0,0,NCO,0,0,0,0,0,0,1,Army,Land,0,0,0,0,6,0,0,3,0,3,2,0,1,0,0,0,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
25.76666667,1,2,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0,0,0,0,0,0,NCO,0,1,0,0,0,0,0,Navy,AirNavy,0,0,0,0,5,0,0,4,0,1,1,0,0,0,1,0,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
36.05,1,25,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.5,0,0,0,1,0,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,0,0,0,0,5,0,0,5,1,5,3,1,0,0,1,0.25,0,0,1,1,1,0,5,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
17.45,1,28,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.25,0,1,0,0.75,0,1,1,0,0,Soldier,0,0,0,0,1,0,0,Gend,Land,0,0,0,0,5,0,0,7,1,2,3,1,0,0,1,1,0,0,0,1,4,0.75,2,0.25,4,NA,NA,NA,NA,NA,1,NA,NA,NA,5,5
30.88333333,1,16,1,1,5,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0.5,0,1,0,0.75,0,0,0,0,0,NCO,0,0,0,0,0,1,0,Gend,Land,0,0,0,0,6,0,0,4,0,3,3,1,1,0,1,0.75,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
18.13333333,1,9,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0.75,0,1,1,0,0,Soldier,0,0,0,1,0,0,0,Air,AirNavy,0,0,0,0,5,0,0,3,0,4,3,1,1,0,1,0.75,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
43.26666667,1,44,1,1,5,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,1,1,0,0,1,1,0,0,0,0,NCO,0,0,1,0,0,0,0,Air,AirNavy,0,0,0,0,5,0,0,4,0,5,1,0,1,0,0,0.25,0.5,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
19.2,1,5,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0.25,1,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,5,0,1,7,1,NA,3,1,0,0,1,0.75,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
14.75,1,12,4,0,2,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0.5,1,0,0,1,0,Jun. Officer,0,0,0,0,1,0,0,Gend,Land,1,0,1,0,3,1,0,5,1,1,2,0,0,1,1,0,0,0,1,1,1,0,5,1,3,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
22.93333333,1,16,1,1,5,1,1,1,mil_RU,0,0,1,0,0,NA,NA,0,NA,0.5,0,0,0,1,0,0,0,0,0,NCO,0,0,0,0,0,0,0,NA,NA,1,0,0,0,6,0,0,4,0,3,3,1,1,0,1,1,0,0,0,1,1,0,5,1,3,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
23.9,1,5,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,0.5,1,1,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,0,0,0,0,3,1,0,4,0,1,1,0,0,1,1,0.5,0.5,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
10.7,1,12,4,0,2,1,1,1,mil_RU,0,0,1,0,0,NA,NA,1,NA,1,1,0,0,1,1,0,0,1,0,Jun. Officer,0,0,0,0,1,0,0,Gend,Land,1,0,1,0,3,1,0,5,1,1,1,0,0,1,1,0,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
24.23333333,1,16,3,0,3,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0.5,0,0,0,0.5,0,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,1,0,1,0,7,0,0,4,0,3,3,1,0,0,1,0.5,0.5,0,0,1,1,0,3,0.5,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3
23.05,1,40,1,1,5,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,0.5,0,1,0,0.5,0,0,0,0,0,NCO,0,0,0,0,0,1,0,Gend,Land,0,0,0,0,6,0,0,3,0,2,2,0,0,0,1,0.75,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
13.28333333,1,12,2,1,4,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.75,1,0,0,0,1,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,6,0,0,4,0,4,3,1,1,0,1,1,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,4
19.43333333,1,47,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0.25,0,0,0,0.5,0,1,0,0,0,NCO,0,0,0,0,0,1,0,Gend,Land,0,0,0,0,4,0,0,4,0,3,3,1,1,0,0,0.75,0.5,0,1,1,1,0,4,0.75,5,NA,NA,NA,NA,NA,3,NA,NA,NA,5,5
